Character,Sleep,Appearance,IndexPost
1,0.7,0.7,323
1,1.0,0.7,1
1,1.0,0.7,133
0,0.7,0.7,355
0,0.7,0.7,210
1,1.0,0.7,92
1,1.0,0.7,73
0,1.0,0.7,5
0,1.0,0.7,101
0,1.0,0.7,61
0,0.7,0.7,207
1,1.0,0.7,112
0,0.7,0.7,228
1,0.7,0.7,195
1,0.7,0.7,164
0,1.0,0.7,110
0,1.0,0.7,43
0,0.7,0.7,348
1,0.7,0.7,177
0,1.0,0.7,87
0,1.0,0.7,32
0,0.7,0.7,280
1,1.0,0.7,51
0,0.7,0.7,292
0,1.0,0.7,107
0,1.0,0.7,118
1,1.0,0.7,7
0,0.7,0.7,184
0,1.0,0.7,44
1,1.0,0.7,106
0,1.0,0.7,88
0,0.7,0.7,331
0,0.7,0.7,334
0,1.0,0.7,14
1,1.0,0.7,93
1,1.0,0.7,117
0,1.0,0.7,11
0,1.0,0.7,95
1,0.7,0.7,331
0,1.0,0.7,26
0,0.7,0.7,264
1,0.7,0.7,155
1,0.7,0.7,220
1,0.7,0.7,280
1,0.7,0.7,259
1,1.0,0.7,28
1,0.7,0.7,314
0,0.7,0.7,233
1,1.0,0.7,35
0,0.7,0.7,261
0,1.0,0.7,16
0,0.7,0.7,281
1,0.7,0.7,211
1,0.7,0.7,225
0,0.7,0.7,215
0,0.7,0.7,175
0,0.7,0.7,211
1,0.7,0.7,179
1,1.0,0.7,71
0,0.7,0.7,332
1,0.7,0.7,186
1,0.7,0.7,281
1,1.0,0.7,44
1,0.7,0.7,295
1,0.7,0.7,342
0,0.7,0.7,290
1,1.0,0.7,36
1,0.7,0.7,337
0,1.0,0.7,38
1,0.7,0.7,263
0,0.7,0.7,220
1,1.0,0.7,11
1,1.0,0.7,0
1,0.7,0.7,267
1,1.0,0.7,50
0,0.7,0.7,299
1,1.0,0.7,59
0,0.7,0.7,180
0,0.7,0.7,158
0,1.0,0.7,144
1,0.7,0.7,243
1,0.7,0.7,346
1,1.0,0.7,135
1,0.7,0.7,184
0,0.7,0.7,150
1,0.7,0.7,316
0,1.0,0.7,126
0,0.7,0.7,297
0,1.0,0.7,6
0,0.7,0.7,181
0,1.0,0.7,80
1,0.7,0.7,339
1,1.0,0.7,114
1,1.0,0.7,38
0,0.7,0.7,152
1,0.7,0.7,355
1,0.7,0.7,313
1,1.0,0.7,79
1,1.0,0.7,19
1,1.0,0.7,110
0,1.0,0.7,19
0,0.7,0.7,227
1,0.7,0.7,199
0,1.0,0.7,92
0,0.7,0.7,178
1,0.7,0.7,173
1,0.7,0.7,348
