Character,Sleep,Appearance,IndexPost
0,0.7,0.5,223
0,0.7,0.5,278
0,0.9,0.5,147
1,0.7,0.5,362
0,0.7,0.5,338
1,0.7,0.5,223
0,0.7,0.5,260
1,0.7,0.5,199
1,0.7,0.5,335
0,0.9,0.5,58
1,0.7,0.5,271
1,0.9,0.5,50
0,0.7,0.5,271
0,0.9,0.5,140
0,0.9,0.5,62
0,0.7,0.5,281
0,0.9,0.5,3
0,0.7,0.5,231
0,0.9,0.5,157
0,0.7,0.5,216
0,0.7,0.5,230
0,0.9,0.5,25
1,0.7,0.5,172
1,0.9,0.5,166
1,0.9,0.5,146
0,0.7,0.5,170
0,0.9,0.5,45
0,0.9,0.5,50
0,0.9,0.5,43
0,0.7,0.5,375
0,0.7,0.5,311
0,0.7,0.5,205
0,0.7,0.5,376
1,0.7,0.5,380
0,0.9,0.5,99
1,0.9,0.5,141
0,0.9,0.5,54
1,0.9,0.5,31
0,0.7,0.5,277
1,0.7,0.5,212
1,0.7,0.5,326
0,0.9,0.5,127
1,0.7,0.5,182
0,0.9,0.5,141
0,0.9,0.5,133
0,0.9,0.5,162
1,0.7,0.5,292
0,0.7,0.5,347
1,0.9,0.5,113
0,0.7,0.5,310
1,0.7,0.5,298
0,0.7,0.5,182
0,0.9,0.5,78
0,0.9,0.5,63
0,0.9,0.5,151
0,0.9,0.5,108
1,0.7,0.5,318
1,0.9,0.5,143
1,0.7,0.5,321
0,0.7,0.5,248
0,0.7,0.5,168
0,0.9,0.5,85
1,0.7,0.5,232
1,0.9,0.5,39
1,0.9,0.5,157
1,0.7,0.5,246
1,0.7,0.5,349
0,0.7,0.5,242
1,0.7,0.5,261
0,0.9,0.5,9
1,0.9,0.5,30
0,0.9,0.5,118
1,0.9,0.5,89
1,0.7,0.5,194
0,0.7,0.5,377
0,0.7,0.5,313
1,0.9,0.5,60
1,0.9,0.5,85
0,0.7,0.5,201
1,0.7,0.5,332
1,0.7,0.5,273
0,0.7,0.5,265
1,0.7,0.5,347
0,0.9,0.5,34
1,0.7,0.5,222
