Character,Sleep,Appearance,IndexPost
0,1.0,0.5,229
0,1.3,0.5,48
0,1.0,0.5,202
1,1.3,0.5,58
1,1.3,0.5,114
1,1.0,0.5,225
0,1.0,0.5,170
0,1.0,0.5,120
0,1.0,0.5,206
1,1.3,0.5,110
1,1.0,0.5,184
1,1.0,0.5,133
0,1.0,0.5,224
1,1.0,0.5,213
1,1.0,0.5,233
0,1.0,0.5,182
0,1.0,0.5,228
1,1.0,0.5,122
0,1.3,0.5,19
0,1.3,0.5,74
0,1.3,0.5,5
0,1.0,0.5,165
0,1.0,0.5,217
0,1.3,0.5,107
1,1.0,0.5,196
1,1.3,0.5,15
0,1.3,0.5,61
1,1.0,0.5,168
0,1.3,0.5,102
1,1.0,0.5,236
0,1.3,0.5,77
0,1.0,0.5,259
0,1.0,0.5,138
1,1.0,0.5,126
1,1.0,0.5,139
0,1.3,0.5,43
0,1.0,0.5,175
1,1.3,0.5,22
1,1.3,0.5,24
1,1.0,0.5,202
1,1.3,0.5,46
1,1.3,0.5,60
0,1.0,0.5,126
1,1.3,0.5,67
1,1.0,0.5,183
0,1.3,0.5,57
1,1.3,0.5,80
0,1.3,0.5,58
1,1.3,0.5,49
0,1.0,0.5,198
0,1.3,0.5,25
0,1.0,0.5,147
0,1.0,0.5,210
0,1.0,0.5,177
0,1.0,0.5,194
0,1.0,0.5,180
0,1.0,0.5,261
0,1.3,0.5,31
0,1.0,0.5,227
1,1.0,0.5,222
0,1.3,0.5,32
1,1.3,0.5,82
0,1.0,0.5,220
0,1.0,0.5,154
1,1.3,0.5,99
1,1.3,0.5,88
0,1.3,0.5,84
1,1.0,0.5,151
0,1.0,0.5,132
1,1.0,0.5,169
1,1.3,0.5,78
1,1.0,0.5,232
1,1.3,0.5,109
0,1.3,0.5,3
1,1.0,0.5,167
0,1.3,0.5,22
1,1.0,0.5,132
1,1.3,0.5,89
1,1.0,0.5,181
1,1.3,0.5,41
1,1.3,0.5,100
1,1.0,0.5,158
1,1.0,0.5,166
0,1.3,0.5,51
1,1.3,0.5,38
0,1.0,0.5,148
0,1.0,0.5,146
1,1.0,0.5,117
0,1.0,0.5,237
1,1.0,0.5,160
1,1.0,0.5,198
