Character,Sleep,Appearance,IndexPost
0,0.9,0.5,286
1,0.9,0.5,163
1,0.9,0.5,160
1,0.9,0.5,267
1,1.1,0.5,131
0,1.1,0.5,57
1,0.9,0.5,225
1,0.9,0.5,154
0,0.9,0.5,226
1,0.9,0.5,215
1,1.1,0.5,118
0,1.1,0.5,42
0,0.9,0.5,148
1,0.9,0.5,283
1,0.9,0.5,192
0,1.1,0.5,25
0,0.9,0.5,287
1,0.9,0.5,197
1,0.9,0.5,255
1,0.9,0.5,205
0,0.9,0.5,230
1,1.1,0.5,6
0,0.9,0.5,274
0,0.9,0.5,271
0,1.1,0.5,36
0,0.9,0.5,170
0,1.1,0.5,129
1,1.1,0.5,4
0,1.1,0.5,67
0,1.1,0.5,26
0,0.9,0.5,151
1,0.9,0.5,139
1,1.1,0.5,64
0,0.9,0.5,244
0,0.9,0.5,234
0,0.9,0.5,164
1,1.1,0.5,108
0,0.9,0.5,261
1,0.9,0.5,240
0,1.1,0.5,21
0,1.1,0.5,16
1,1.1,0.5,107
0,0.9,0.5,147
0,0.9,0.5,202
1,1.1,0.5,97
0,1.1,0.5,17
0,0.9,0.5,173
0,1.1,0.5,113
1,0.9,0.5,180
0,0.9,0.5,149
1,0.9,0.5,296
1,0.9,0.5,285
0,0.9,0.5,250
0,1.1,0.5,86
0,1.1,0.5,40
0,1.1,0.5,93
0,0.9,0.5,210
0,0.9,0.5,188
0,1.1,0.5,108
0,1.1,0.5,37
0,1.1,0.5,31
1,0.9,0.5,187
1,0.9,0.5,235
0,1.1,0.5,32
0,0.9,0.5,251
1,0.9,0.5,168
1,0.9,0.5,234
1,0.9,0.5,159
1,0.9,0.5,151
0,1.1,0.5,44
1,1.1,0.5,22
1,1.1,0.5,12
0,1.1,0.5,112
0,0.9,0.5,172
0,1.1,0.5,78
1,1.1,0.5,2
1,1.1,0.5,63
0,1.1,0.5,91
1,1.1,0.5,86
1,1.1,0.5,58
0,0.9,0.5,199
0,0.9,0.5,183
1,1.1,0.5,109
0,1.1,0.5,60
0,0.9,0.5,267
0,0.9,0.5,190
0,0.9,0.5,216
1,0.9,0.5,164
1,1.1,0.5,106
0,0.9,0.5,193
1,1.1,0.5,67
1,1.1,0.5,130
1,1.1,0.5,15
0,1.1,0.5,122
1,1.1,0.5,116
0,0.9,0.5,223
1,0.9,0.5,227
0,0.9,0.5,187
1,0.9,0.5,173
0,1.1,0.5,24
0,0.9,0.5,262
1,0.9,0.5,172
1,1.1,0.5,81
0,0.9,0.5,218
1,0.9,0.5,249
0,0.9,0.5,264
1,0.9,0.5,241
1,1.1,0.5,8
1,0.9,0.5,201
1,0.9,0.5,162
1,0.9,0.5,274
1,1.1,0.5,36
0,0.9,0.5,189
1,0.9,0.5,200
1,0.9,0.5,137
1,1.1,0.5,3
0,0.9,0.5,208
0,1.1,0.5,41
1,0.9,0.5,193
1,1.1,0.5,125
0,1.1,0.5,126
0,0.9,0.5,154
1,1.1,0.5,83
1,1.1,0.5,124
1,0.9,0.5,270
0,0.9,0.5,279
1,0.9,0.5,236
1,1.1,0.5,95
0,1.1,0.5,135
0,0.9,0.5,195
0,1.1,0.5,103
1,0.9,0.5,169
1,0.9,0.5,286
0,0.9,0.5,268
0,1.1,0.5,96
0,0.9,0.5,282
1,0.9,0.5,210
1,0.9,0.5,194
1,0.9,0.5,218
1,1.1,0.5,35
1,1.1,0.5,110
1,0.9,0.5,262
0,1.1,0.5,97
0,0.9,0.5,225
0,0.9,0.5,231
0,1.1,0.5,33
1,0.9,0.5,229
1,0.9,0.5,211
1,0.9,0.5,214
1,0.9,0.5,279
1,0.9,0.5,148
1,1.1,0.5,14
1,0.9,0.5,251
1,0.9,0.5,152
0,1.1,0.5,34
1,1.1,0.5,45
0,0.9,0.5,245
1,1.1,0.5,41
0,0.9,0.5,255
0,1.1,0.5,3
0,0.9,0.5,176
0,1.1,0.5,51
0,0.9,0.5,257
0,0.9,0.5,186
0,0.9,0.5,175
1,1.1,0.5,93
1,1.1,0.5,33
0,0.9,0.5,283
1,0.9,0.5,199
1,0.9,0.5,220
1,1.1,0.5,47
1,0.9,0.5,178
1,0.9,0.5,138
0,1.1,0.5,73
1,0.9,0.5,184
0,0.9,0.5,194
0,0.9,0.5,191
0,1.1,0.5,7
1,0.9,0.5,295
0,0.9,0.5,155
1,1.1,0.5,54
1,0.9,0.5,281
0,1.1,0.5,0
0,0.9,0.5,140
1,0.9,0.5,223
0,0.9,0.5,275
1,1.1,0.5,103
0,1.1,0.5,53
1,0.9,0.5,254
0,0.9,0.5,160
1,1.1,0.5,21
0,1.1,0.5,38
0,1.1,0.5,10
1,0.9,0.5,265
1,0.9,0.5,242
0,0.9,0.5,174
1,1.1,0.5,87
1,1.1,0.5,7
1,1.1,0.5,105
0,1.1,0.5,124
1,0.9,0.5,243
1,1.1,0.5,1
0,0.9,0.5,266
1,1.1,0.5,40
1,1.1,0.5,104
1,1.1,0.5,117
1,1.1,0.5,96
0,1.1,0.5,52
1,0.9,0.5,144
0,1.1,0.5,4
1,0.9,0.5,257
1,0.9,0.5,186
1,0.9,0.5,182
1,1.1,0.5,20
1,1.1,0.5,91
1,1.1,0.5,9
1,0.9,0.5,147
0,0.9,0.5,201
1,1.1,0.5,115
1,0.9,0.5,230
1,0.9,0.5,141
1,0.9,0.5,213
1,1.1,0.5,79
0,0.9,0.5,270
1,0.9,0.5,258
0,1.1,0.5,65
1,1.1,0.5,61
1,1.1,0.5,23
0,1.1,0.5,70
0,0.9,0.5,192
0,1.1,0.5,58
0,0.9,0.5,184
0,0.9,0.5,238
1,0.9,0.5,300
1,1.1,0.5,101
0,0.9,0.5,301
1,0.9,0.5,273
0,0.9,0.5,163
1,0.9,0.5,153
0,1.1,0.5,83
0,0.9,0.5,158
0,1.1,0.5,68
0,0.9,0.5,166
0,1.1,0.5,11
1,1.1,0.5,13
1,1.1,0.5,62
0,1.1,0.5,35
1,1.1,0.5,10
1,0.9,0.5,167
1,0.9,0.5,185
0,0.9,0.5,247
1,1.1,0.5,46
1,1.1,0.5,74
1,0.9,0.5,282
1,0.9,0.5,222
1,0.9,0.5,280
0,0.9,0.5,179
0,0.9,0.5,229
1,0.9,0.5,165
1,1.1,0.5,65
0,0.9,0.5,197
0,1.1,0.5,134
0,0.9,0.5,258
1,1.1,0.5,99
1,0.9,0.5,261
0,1.1,0.5,133
1,1.1,0.5,17
1,0.9,0.5,219
0,1.1,0.5,85
0,1.1,0.5,132
0,0.9,0.5,246
0,1.1,0.5,121
1,1.1,0.5,82
0,0.9,0.5,227
1,1.1,0.5,98
0,1.1,0.5,62
1,1.1,0.5,90
0,1.1,0.5,119
0,1.1,0.5,131
0,0.9,0.5,144
1,1.1,0.5,0
0,1.1,0.5,69
0,0.9,0.5,220
1,0.9,0.5,291
0,0.9,0.5,281
1,0.9,0.5,288
0,1.1,0.5,98
1,0.9,0.5,293
1,0.9,0.5,216
0,0.9,0.5,152
1,0.9,0.5,174
1,1.1,0.5,92
0,0.9,0.5,236
1,1.1,0.5,52
1,0.9,0.5,226
1,0.9,0.5,150
1,0.9,0.5,224
0,1.1,0.5,29
0,1.1,0.5,109
0,1.1,0.5,125
1,1.1,0.5,113
0,0.9,0.5,180
1,0.9,0.5,271
0,0.9,0.5,203
1,1.1,0.5,111
0,1.1,0.5,64
1,0.9,0.5,155
0,1.1,0.5,88
0,0.9,0.5,248
1,1.1,0.5,44
1,1.1,0.5,102
1,1.1,0.5,77
1,0.9,0.5,232
0,1.1,0.5,116
0,0.9,0.5,177
1,0.9,0.5,195
1,1.1,0.5,56
1,1.1,0.5,121
0,0.9,0.5,276
0,0.9,0.5,214
1,0.9,0.5,203
1,0.9,0.5,188
0,1.1,0.5,101
1,0.9,0.5,228
0,1.1,0.5,100
1,0.9,0.5,292
0,0.9,0.5,233
0,0.9,0.5,243
0,1.1,0.5,15
0,0.9,0.5,224
1,0.9,0.5,176
1,0.9,0.5,299
1,1.1,0.5,89
1,1.1,0.5,122
0,0.9,0.5,137
0,0.9,0.5,141
0,0.9,0.5,204
0,0.9,0.5,280
0,0.9,0.5,217
0,1.1,0.5,105
1,0.9,0.5,264
0,0.9,0.5,253
1,0.9,0.5,207
0,0.9,0.5,221
1,0.9,0.5,253
0,0.9,0.5,138
1,1.1,0.5,119
1,0.9,0.5,289
0,0.9,0.5,273
1,0.9,0.5,206
0,1.1,0.5,14
1,0.9,0.5,233
1,1.1,0.5,32
1,1.1,0.5,88
1,0.9,0.5,179
0,1.1,0.5,39
1,0.9,0.5,238
0,0.9,0.5,145
1,0.9,0.5,245
1,0.9,0.5,196
1,0.9,0.5,237
1,1.1,0.5,28
0,1.1,0.5,71
1,1.1,0.5,134
0,0.9,0.5,265
1,1.1,0.5,71
0,0.9,0.5,211
1,0.9,0.5,212
0,0.9,0.5,165
1,1.1,0.5,129
0,1.1,0.5,47
0,0.9,0.5,162
0,0.9,0.5,161
1,1.1,0.5,84
1,0.9,0.5,256
1,0.9,0.5,171
0,1.1,0.5,8
1,0.9,0.5,287
0,0.9,0.5,296
0,1.1,0.5,90
0,0.9,0.5,139
1,1.1,0.5,19
1,0.9,0.5,246
1,0.9,0.5,269
1,1.1,0.5,120
1,0.9,0.5,175
1,0.9,0.5,259
1,1.1,0.5,80
1,0.9,0.5,142
1,0.9,0.5,190
0,1.1,0.5,107
0,0.9,0.5,209
1,1.1,0.5,50
0,0.9,0.5,159
0,1.1,0.5,55
0,1.1,0.5,128
0,0.9,0.5,278
1,1.1,0.5,43
0,0.9,0.5,299
0,0.9,0.5,298
1,1.1,0.5,132
0,1.1,0.5,92
0,0.9,0.5,256
0,1.1,0.5,30
1,0.9,0.5,177
1,0.9,0.5,189
0,1.1,0.5,9
0,0.9,0.5,200
0,1.1,0.5,77
0,1.1,0.5,110
1,0.9,0.5,198
0,1.1,0.5,56
0,1.1,0.5,75
0,1.1,0.5,99
1,1.1,0.5,49
1,0.9,0.5,263
0,0.9,0.5,153
1,0.9,0.5,272
0,1.1,0.5,74
1,1.1,0.5,24
0,1.1,0.5,114
0,0.9,0.5,242
1,1.1,0.5,37
0,1.1,0.5,49
0,0.9,0.5,178
1,0.9,0.5,239
1,1.1,0.5,38
0,0.9,0.5,182
0,0.9,0.5,240
0,0.9,0.5,219
1,1.1,0.5,57
1,1.1,0.5,73
1,1.1,0.5,42
0,0.9,0.5,167
0,0.9,0.5,196
1,0.9,0.5,302
1,0.9,0.5,181
0,1.1,0.5,2
0,1.1,0.5,130
1,1.1,0.5,29
1,0.9,0.5,297
0,0.9,0.5,207
0,1.1,0.5,13
0,1.1,0.5,12
0,0.9,0.5,235
0,0.9,0.5,293
1,0.9,0.5,221
0,0.9,0.5,171
1,1.1,0.5,128
1,0.9,0.5,217
1,0.9,0.5,298
1,0.9,0.5,149
0,1.1,0.5,120
1,1.1,0.5,135
1,0.9,0.5,208
0,0.9,0.5,156
0,1.1,0.5,1
0,1.1,0.5,61
1,1.1,0.5,123
0,0.9,0.5,198
1,1.1,0.5,16
0,1.1,0.5,81
1,0.9,0.5,161
0,1.1,0.5,54
1,0.9,0.5,244
1,1.1,0.5,112
0,0.9,0.5,254
1,1.1,0.5,133
1,1.1,0.5,30
0,1.1,0.5,82
0,0.9,0.5,300
1,0.9,0.5,202
0,0.9,0.5,237
0,1.1,0.5,104
0,1.1,0.5,63
1,1.1,0.5,94
0,1.1,0.5,95
1,1.1,0.5,114
0,0.9,0.5,249
0,0.9,0.5,260
1,1.1,0.5,85
0,0.9,0.5,212
0,1.1,0.5,45
1,0.9,0.5,158
1,1.1,0.5,48
0,0.9,0.5,259
1,0.9,0.5,268
1,0.9,0.5,284
0,1.1,0.5,115
0,1.1,0.5,72
0,1.1,0.5,106
0,1.1,0.5,22
0,1.1,0.5,94
0,1.1,0.5,89
0,0.9,0.5,228
0,0.9,0.5,289
1,0.9,0.5,166
1,0.9,0.5,260
1,0.9,0.5,248
0,0.9,0.5,232
1,0.9,0.5,277
0,0.9,0.5,272
0,0.9,0.5,290
0,1.1,0.5,20
0,0.9,0.5,215
1,0.9,0.5,170
0,0.9,0.5,269
0,0.9,0.5,150
1,1.1,0.5,75
0,0.9,0.5,284
1,1.1,0.5,18
0,0.9,0.5,206
1,0.9,0.5,136
0,1.1,0.5,117
0,0.9,0.5,143
1,0.9,0.5,290
0,1.1,0.5,23
1,1.1,0.5,55
0,0.9,0.5,291
1,0.9,0.5,276
1,1.1,0.5,68
1,0.9,0.5,275
0,1.1,0.5,80
1,1.1,0.5,76
1,1.1,0.5,5
0,0.9,0.5,241
0,1.1,0.5,111
1,0.9,0.5,183
0,1.1,0.5,127
0,1.1,0.5,5
1,0.9,0.5,143
0,0.9,0.5,297
1,1.1,0.5,25
0,1.1,0.5,123
0,1.1,0.5,27
1,1.1,0.5,126
0,0.9,0.5,205
0,0.9,0.5,288
1,0.9,0.5,252
1,1.1,0.5,127
1,1.1,0.5,69
1,1.1,0.5,60
1,0.9,0.5,266
1,0.9,0.5,156
0,1.1,0.5,76
1,0.9,0.5,247
1,0.9,0.5,278
0,0.9,0.5,168
0,0.9,0.5,294
1,0.9,0.5,231
1,0.9,0.5,204
0,1.1,0.5,102
1,1.1,0.5,51
0,0.9,0.5,142
0,0.9,0.5,292
0,1.1,0.5,19
0,0.9,0.5,222
1,1.1,0.5,70
0,1.1,0.5,6
1,1.1,0.5,53
0,0.9,0.5,295
0,0.9,0.5,181
0,1.1,0.5,66
1,0.9,0.5,250
0,0.9,0.5,213
0,1.1,0.5,118
1,1.1,0.5,27
1,0.9,0.5,294
0,0.9,0.5,169
0,1.1,0.5,84
0,0.9,0.5,146
1,0.9,0.5,157
0,0.9,0.5,239
1,0.9,0.5,146
1,0.9,0.5,301
1,0.9,0.5,191
1,1.1,0.5,11
0,1.1,0.5,79
1,1.1,0.5,78
0,1.1,0.5,18
0,1.1,0.5,28
0,1.1,0.5,50
1,1.1,0.5,26
0,1.1,0.5,59
0,0.9,0.5,157
0,0.9,0.5,252
0,0.9,0.5,277
0,1.1,0.5,43
1,0.9,0.5,209
1,1.1,0.5,31
1,1.1,0.5,39
0,1.1,0.5,46
1,1.1,0.5,66
0,0.9,0.5,136
1,0.9,0.5,140
0,0.9,0.5,263
1,1.1,0.5,100
1,1.1,0.5,34
1,1.1,0.5,72
0,0.9,0.5,285
0,0.9,0.5,185
1,1.1,0.5,59
0,1.1,0.5,48
1,0.9,0.5,145
0,1.1,0.5,87
