Character,Sleep,Appearance,IndexPost
0,1.25,0.7,6
0,1.25,0.7,7
0,1.25,0.7,8
1,1.25,0.7,3
1,1.25,0.7,4
1,1.25,0.7,5
0,1.25,0.7,0
0,1.25,0.7,1
0,1.25,0.7,2
0,1.25,0.7,6
0,1.25,0.7,7
0,1.25,0.7,8
1,1.25,0.7,3
1,1.25,0.7,4
1,1.25,0.7,5
0,1.25,0.7,0
0,1.25,0.7,1
0,1.25,0.7,2
0,1.25,0.7,6
0,1.25,0.7,7
0,1.25,0.7,8
1,1.25,0.7,3
1,1.25,0.7,4
1,1.25,0.7,5
0,1.25,0.7,0
0,1.25,0.7,1
0,1.25,0.7,2
0,1.25,0.7,6
0,1.25,0.7,7
0,1.25,0.7,8
1,1.25,0.7,3
1,1.25,0.7,4
1,1.25,0.7,5
0,1.25,0.7,0
0,1.25,0.7,1
0,1.25,0.7,2
1,1.25,0.7,0
0,1.25,0.7,1
0,1.25,0.7,2
0,1.25,0.7,3
1,1.25,0.7,4
1,1.25,0.7,5
1,1.25,0.7,6
0,1.25,0.7,7
1,1.25,0.7,8
0,1.25,0.7,0
0,1.25,0.7,1
0,1.25,0.7,2
0,1.25,0.7,3
0,1.25,0.7,4
0,1.25,0.7,5
1,1.25,0.7,6
0,1.25,0.7,7
1,1.25,0.7,8
0,1.25,0.7,0
0,1.25,0.7,1
1,1.25,0.7,2
1,1.25,0.7,3
0,1.25,0.7,4
1,1.25,0.7,5
1,1.25,0.7,6
0,1.25,0.7,7
0,1.25,0.7,8
1,1.25,0.7,0
1,1.25,0.7,1
1,1.25,0.7,2
1,1.25,0.7,3
1,1.25,0.7,4
0,1.25,0.7,5
0,1.25,0.7,6
1,1.25,0.7,7
0,1.25,0.7,8
0,1,0.7,6
0,1,0.7,7
0,1.5,0.7,8
1,1,0.7,3
1,1.5,0.7,4
1,1.5,0.7,5
0,1,0.7,0
0,1.5,0.7,1
0,1,0.7,2
0,1.5,0.7,6
0,1,0.7,7
0,1,0.7,8
1,1.5,0.7,3
1,1.5,0.7,4
1,1,0.7,5
0,1,0.7,0
0,1,0.7,1
0,1,0.7,2
0,1,0.7,6
0,1,0.7,7
0,1.5,0.7,8
1,1,0.7,3
1,1,0.7,4
1,1,0.7,5
0,1.5,0.7,0
0,1,0.7,1
0,1.5,0.7,2
0,1.5,0.7,6
0,1,0.7,7
0,1,0.7,8
1,1.5,0.7,3
1,1.5,0.7,4
1,1,0.7,5
0,1,0.7,0
0,1.5,0.7,1
0,1,0.7,2
1,1,0.7,6
0,1,0.7,7
1,1.5,0.7,8
1,1,0.7,3
1,1.5,0.7,4
0,1.5,0.7,5
1,1,0.7,0
1,1.5,0.7,1
1,1,0.7,2
0,1.5,0.7,6
1,1,0.7,7
0,1,0.7,8
1,1.5,0.7,3
0,1.5,0.7,4
0,1,0.7,5
1,1,0.7,0
0,1,0.7,1
0,1,0.7,2
0,1,0.7,6
1,1,0.7,7
1,1.5,0.7,8
1,1,0.7,3
0,1,0.7,4
1,1,0.7,5
1,1.5,0.7,0
0,1,0.7,1
0,1.5,0.7,2
1,1.5,0.7,6
0,1,0.7,7
0,1,0.7,8
1,1.5,0.7,3
1,1.5,0.7,4
1,1,0.7,5
1,1,0.7,0
0,1.5,0.7,1
0,1,0.7,2
