Character,Sleep,Appearance,IndexPost
0,1.5,0.7,3
1,1.5,0.7,4
0,1.5,0.7,5
0,1.5,0.7,3
1,1.5,0.7,4
0,1.5,0.7,5
0,1.5,0.7,3
1,1.5,0.7,4
0,1.5,0.7,5
0,1.5,0.7,3
1,1.5,0.7,4
0,1.5,0.7,5
0,1.5,0.7,3
1,1.5,0.7,4
0,1.5,0.7,5
0,1.5,0.7,3
1,1.5,0.7,4
0,1.5,0.7,5
0,1.5,0.7,3
1,1.5,0.7,4
0,1.5,0.7,5
0,1.5,0.7,4
0,1.5,0.7,41
0,1.5,0.7,69
1,1.5,0.7,32
1,1.5,0.7,7
1,1.5,0.7,42
0,1.5,0.7,3
0,1.5,0.7,61
1,1.5,0.7,15
1,1.5,0.7,65
0,1.5,0.7,7
0,1.5,0.7,28
0,1.5,0.7,26
0,1.5,0.7,34
1,1.5,0.7,36
1,1.5,0.7,54
1,1.5,0.7,71
0,1.5,0.7,10
1,1.5,0.7,31
0,1.3,0.7,3
1,1.3,0.7,4
0,1.3,0.7,5
0,1.3,0.7,3
1,1.3,0.7,4
0,1.3,0.7,5
0,1.3,0.7,3
1,1.3,0.7,4
0,1.3,0.7,5
0,1.3,0.7,3
1,1.3,0.7,4
0,1.3,0.7,5
0,1.3,0.7,3
1,1.3,0.7,4
0,1.3,0.7,5
0,1.3,0.7,3
1,1.3,0.7,4
0,1.3,0.7,5
0,1.3,0.7,3
1,1.3,0.7,4
0,1.3,0.7,5
1,1.3,0.7,34
1,1.3,0.7,35
1,1.3,0.7,59
1,1.3,0.7,0
1,1.3,0.7,4
0,1.3,0.7,48
1,1.3,0.7,21
1,1.3,0.7,57
1,1.3,0.7,45
0,1.3,0.7,2
1,1.3,0.7,72
1,1.3,0.7,64
0,1.3,0.7,1
1,1.3,0.7,39
1,1.3,0.7,40
0,1.3,0.7,39
1,1.3,0.7,69
1,1.3,0.7,33
0,1.3,0.7,31
1,1.3,0.7,60
1,1.3,0.7,11
0,1.3,0.7,66
1,1.3,0.7,47
1,1.3,0.7,70
1,1.3,0.7,66
0,1,0.7,3
1,1,0.7,4
0,1,0.7,5
0,1,0.7,3
1,1,0.7,4
0,1,0.7,5
0,1,0.7,3
1,1,0.7,4
0,1,0.7,5
0,1,0.7,3
1,1,0.7,4
0,1,0.7,5
0,1,0.7,3
1,1,0.7,4
0,1,0.7,5
0,1,0.7,3
1,1,0.7,4
0,1,0.7,5
0,1,0.7,3
1,1,0.7,4
0,1,0.7,5
1,1,0.7,14
0,1,0.7,74
1,1,0.7,2
1,1,0.7,28
1,1,0.7,44
0,1,0.7,18
0,1,0.7,60
0,1,0.7,29
1,1,0.7,50
0,1,0.7,37
1,1,0.7,12
0,1,0.7,11
1,1,0.7,1
0,1,0.7,57
1,1,0.7,55
1,1,0.7,43
0,1,0.7,55
0,1,0.7,40
1,1,0.7,74
0,1,0.7,59
0,1,0.7,62
0,1,0.7,13
0,1,0.7,33
0,1,0.7,30
1,1,0.7,17
1,1,0.7,37
0,1,0.7,24
1,1,0.7,53
0,1,0.7,16
1,1,0.7,26
0,1,0.7,58
0,1,0.7,38
0,1,0.7,68
0,1,0.7,43
0,1,0.7,32
1,1,0.7,41
0,1,0.7,47
0,1,0.7,50
0,1,0.7,67
