Character,Sleep,Appearance,IndexPost
1,1.1,0.5,103
1,0.9,0.5,359
0,0.9,0.5,64
1,0.9,0.5,360
1,1.1,0.5,160
1,0.9,0.5,404
1,0.9,0.5,307
1,0.9,0.5,341
1,1.1,0.5,174
1,1.1,0.5,92
0,0.9,0.5,58
1,0.9,0.5,278
0,0.9,0.5,70
1,0.9,0.5,463
1,0.9,0.5,459
1,1.1,0.5,78
1,0.9,0.5,251
1,0.9,0.5,412
1,0.9,0.5,268
1,0.9,0.5,464
0,1.1,0.5,34
1,0.9,0.5,284
1,0.9,0.5,460
1,0.9,0.5,241
0,1.1,0.5,0
1,0.9,0.5,508
1,0.9,0.5,347
1,1.1,0.5,62
1,0.9,0.5,305
1,0.9,0.5,255
1,0.9,0.5,478
1,0.9,0.5,289
1,0.9,0.5,286
1,0.9,0.5,240
1,0.9,0.5,271
0,0.9,0.5,49
1,0.9,0.5,447
1,0.9,0.5,362
1,1.1,0.5,45
1,0.9,0.5,281
1,1.1,0.5,227
1,0.9,0.5,331
1,1.1,0.5,146
1,1.1,0.5,207
1,0.9,0.5,364
1,1.1,0.5,209
1,1.1,0.5,81
1,0.9,0.5,361
1,0.9,0.5,266
1,1.1,0.5,194
1,1.1,0.5,187
1,0.9,0.5,269
1,1.1,0.5,229
1,0.9,0.5,309
1,0.9,0.5,509
1,0.9,0.5,337
1,0.9,0.5,356
0,0.9,0.5,76
1,1.1,0.5,89
1,1.1,0.5,53
1,0.9,0.5,484
1,0.9,0.5,402
1,0.9,0.5,273
1,0.9,0.5,336
1,0.9,0.5,245
1,0.9,0.5,296
1,1.1,0.5,189
1,0.9,0.5,313
0,1.1,0.5,27
0,1.1,0.5,33
1,1.1,0.5,90
1,1.1,0.5,39
1,0.9,0.5,264
1,0.9,0.5,444
1,1.1,0.5,156
1,1.1,0.5,77
1,1.1,0.5,33
0,1.1,0.5,12
0,1.1,0.5,20
0,1.1,0.5,26
1,0.9,0.5,491
1,1.1,0.5,192
1,0.9,0.5,376
1,1.1,0.5,98
1,0.9,0.5,346
1,1.1,0.5,211
1,0.9,0.5,322
1,1.1,0.5,24
1,1.1,0.5,188
1,0.9,0.5,409
1,0.9,0.5,390
0,0.9,0.5,46
1,0.9,0.5,242
1,1.1,0.5,139
1,1.1,0.5,191
0,0.9,0.5,72
1,0.9,0.5,474
1,0.9,0.5,399
1,0.9,0.5,243
1,0.9,0.5,504
1,0.9,0.5,403
0,1.1,0.5,4
1,1.1,0.5,231
1,1.1,0.5,106
1,1.1,0.5,35
1,1.1,0.5,44
1,0.9,0.5,415
1,0.9,0.5,506
1,1.1,0.5,102
1,1.1,0.5,225
1,0.9,0.5,467
1,0.9,0.5,406
1,1.1,0.5,197
1,0.9,0.5,263
1,0.9,0.5,465
1,0.9,0.5,260
1,1.1,0.5,226
1,1.1,0.5,216
1,0.9,0.5,358
0,1.1,0.5,14
1,1.1,0.5,27
1,0.9,0.5,310
0,1.1,0.5,17
1,0.9,0.5,512
1,1.1,0.5,96
1,1.1,0.5,51
1,0.9,0.5,297
1,0.9,0.5,424
1,0.9,0.5,274
0,0.9,0.5,59
1,0.9,0.5,366
0,0.9,0.5,51
1,1.1,0.5,63
1,1.1,0.5,85
1,0.9,0.5,334
1,1.1,0.5,223
1,0.9,0.5,445
1,0.9,0.5,319
1,0.9,0.5,473
1,0.9,0.5,477
1,1.1,0.5,87
1,0.9,0.5,488
1,0.9,0.5,350
1,1.1,0.5,58
1,0.9,0.5,368
1,0.9,0.5,247
1,0.9,0.5,330
1,1.1,0.5,86
1,0.9,0.5,486
1,0.9,0.5,372
0,1.1,0.5,2
1,0.9,0.5,492
1,1.1,0.5,16
0,0.9,0.5,43
1,0.9,0.5,256
1,0.9,0.5,499
1,1.1,0.5,71
1,0.9,0.5,511
1,0.9,0.5,515
1,0.9,0.5,335
1,1.1,0.5,219
0,0.9,0.5,69
1,0.9,0.5,257
1,1.1,0.5,199
1,1.1,0.5,179
1,1.1,0.5,109
1,0.9,0.5,396
1,1.1,0.5,196
1,0.9,0.5,493
1,1.1,0.5,170
1,0.9,0.5,381
1,0.9,0.5,280
1,0.9,0.5,503
1,0.9,0.5,332
1,1.1,0.5,214
1,0.9,0.5,452
1,1.1,0.5,158
1,0.9,0.5,385
1,1.1,0.5,124
1,1.1,0.5,215
1,0.9,0.5,497
1,1.1,0.5,171
1,1.1,0.5,180
1,1.1,0.5,131
0,0.9,0.5,82
1,0.9,0.5,237
1,1.1,0.5,66
1,0.9,0.5,378
1,1.1,0.5,120
1,0.9,0.5,468
1,0.9,0.5,267
1,0.9,0.5,357
0,1.1,0.5,31
1,0.9,0.5,446
0,1.1,0.5,29
1,0.9,0.5,253
1,1.1,0.5,10
1,0.9,0.5,302
1,1.1,0.5,152
0,0.9,0.5,83
1,0.9,0.5,342
1,1.1,0.5,61
1,0.9,0.5,285
1,1.1,0.5,60
0,1.1,0.5,15
1,1.1,0.5,1
1,0.9,0.5,312
1,0.9,0.5,250
1,1.1,0.5,169
1,0.9,0.5,439
1,0.9,0.5,276
1,0.9,0.5,379
1,0.9,0.5,353
1,1.1,0.5,74
0,0.9,0.5,65
1,0.9,0.5,339
1,0.9,0.5,277
0,0.9,0.5,79
1,0.9,0.5,469
0,0.9,0.5,73
1,1.1,0.5,203
1,1.1,0.5,99
1,1.1,0.5,76
1,0.9,0.5,387
